MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT,date
Alkoholunfälle,Verletzte und Getötete,2000,200001,37.0,0.0,0.0,0.0,37.0,2000-01-01
Alkoholunfälle,Verletzte und Getötete,2000,200002,19.0,0.0,-48.65,0.0,28.0,2000-02-01
Alkoholunfälle,Verletzte und Getötete,2000,200003,18.0,0.0,-5.26,0.0,25.0,2000-03-01
Alkoholunfälle,Verletzte und Getötete,2000,200004,26.0,0.0,44.44,0.0,25.0,2000-04-01
Alkoholunfälle,Verletzte und Getötete,2000,200005,44.0,0.0,69.23,0.0,29.0,2000-05-01
Alkoholunfälle,Verletzte und Getötete,2000,200006,32.0,0.0,-27.27,0.0,29.0,2000-06-01
Alkoholunfälle,Verletzte und Getötete,2000,200007,37.0,0.0,15.63,0.0,30.0,2000-07-01
Alkoholunfälle,Verletzte und Getötete,2000,200008,32.0,0.0,-13.51,0.0,31.0,2000-08-01
Alkoholunfälle,Verletzte und Getötete,2000,200009,45.0,0.0,40.63,0.0,32.0,2000-09-01
Alkoholunfälle,Verletzte und Getötete,2000,200010,31.0,0.0,-31.11,0.0,32.0,2000-10-01
Alkoholunfälle,Verletzte und Getötete,2000,200011,24.0,0.0,-22.58,0.0,31.0,2000-11-01
Alkoholunfälle,Verletzte und Getötete,2000,200012,31.0,0.0,29.17,0.0,31.0,2000-12-01
Alkoholunfälle,Verletzte und Getötete,2001,200101,36.0,37.0,16.13,-2.7,31.0,2001-01-01
Alkoholunfälle,Verletzte und Getötete,2001,200102,20.0,19.0,-44.44,5.26,31.0,2001-02-01
Alkoholunfälle,Verletzte und Getötete,2001,200103,36.0,18.0,80.0,100.0,33.0,2001-03-01
Alkoholunfälle,Verletzte und Getötete,2001,200104,32.0,26.0,-11.11,23.08,33.0,2001-04-01
Alkoholunfälle,Verletzte und Getötete,2001,200105,32.0,44.0,0.0,-27.27,32.0,2001-05-01
Alkoholunfälle,Verletzte und Getötete,2001,200106,46.0,32.0,43.75,43.75,34.0,2001-06-01
Alkoholunfälle,Verletzte und Getötete,2001,200107,35.0,37.0,-23.91,-5.41,33.0,2001-07-01
Alkoholunfälle,Verletzte und Getötete,2001,200108,21.0,32.0,-40.0,-34.38,32.0,2001-08-01
Alkoholunfälle,Verletzte und Getötete,2001,200109,48.0,45.0,128.57,6.67,33.0,2001-09-01
Alkoholunfälle,Verletzte und Getötete,2001,200110,37.0,31.0,-22.92,19.35,33.0,2001-10-01
Alkoholunfälle,Verletzte und Getötete,2001,200111,25.0,24.0,-32.43,4.17,33.0,2001-11-01
Alkoholunfälle,Verletzte und Getötete,2001,200112,23.0,31.0,-8.0,-25.81,33.0,2001-12-01
Alkoholunfälle,Verletzte und Getötete,2002,200201,24.0,36.0,4.35,-33.33,32.0,2002-01-01
Alkoholunfälle,Verletzte und Getötete,2002,200202,22.0,20.0,-8.33,10.0,32.0,2002-02-01
Alkoholunfälle,Verletzte und Getötete,2002,200203,21.0,36.0,-4.55,-41.67,31.0,2002-03-01
Alkoholunfälle,Verletzte und Getötete,2002,200204,28.0,32.0,33.33,-12.5,30.0,2002-04-01
Alkoholunfälle,Verletzte und Getötete,2002,200205,32.0,32.0,14.29,0.0,30.0,2002-05-01
Alkoholunfälle,Verletzte und Getötete,2002,200206,42.0,46.0,31.25,-8.7,30.0,2002-06-01
Alkoholunfälle,Verletzte und Getötete,2002,200207,40.0,35.0,-4.76,14.29,30.0,2002-07-01
Alkoholunfälle,Verletzte und Getötete,2002,200208,29.0,21.0,-27.5,38.1,31.0,2002-08-01
Alkoholunfälle,Verletzte und Getötete,2002,200209,51.0,48.0,75.86,6.25,31.0,2002-09-01
Alkoholunfälle,Verletzte und Getötete,2002,200210,53.0,37.0,3.92,43.24,33.0,2002-10-01
Alkoholunfälle,Verletzte und Getötete,2002,200211,10.0,25.0,-81.13,-60.0,31.0,2002-11-01
Alkoholunfälle,Verletzte und Getötete,2002,200212,27.0,23.0,170.0,17.39,32.0,2002-12-01
Alkoholunfälle,Verletzte und Getötete,2003,200301,18.0,24.0,-33.33,-25.0,31.0,2003-01-01
Alkoholunfälle,Verletzte und Getötete,2003,200302,16.0,22.0,-11.11,-27.27,31.0,2003-02-01
Alkoholunfälle,Verletzte und Getötete,2003,200303,17.0,21.0,6.25,-19.05,30.0,2003-03-01
Alkoholunfälle,Verletzte und Getötete,2003,200304,25.0,28.0,47.06,-10.71,30.0,2003-04-01
Alkoholunfälle,Verletzte und Getötete,2003,200305,26.0,32.0,4.0,-18.75,30.0,2003-05-01
Alkoholunfälle,Verletzte und Getötete,2003,200306,41.0,42.0,57.69,-2.38,29.0,2003-06-01
Alkoholunfälle,Verletzte und Getötete,2003,200307,35.0,40.0,-14.63,-12.5,29.0,2003-07-01
Alkoholunfälle,Verletzte und Getötete,2003,200308,40.0,29.0,14.29,37.93,30.0,2003-08-01
Alkoholunfälle,Verletzte und Getötete,2003,200309,26.0,51.0,-35.0,-49.02,28.0,2003-09-01
Alkoholunfälle,Verletzte und Getötete,2003,200310,17.0,53.0,-34.62,-67.92,25.0,2003-10-01
